a,b,c,d,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
0,16,7,23,1,2,3,4,3,4,1,2,2,1,4,3,4,3,2,1
0,16,9,18,1,2,3,4,3,4,1,2,2,3,4,1,4,1,2,3
0,16,18,9,1,2,3,4,3,4,1,2,4,1,2,3,2,3,4,1
0,16,23,7,1,2,3,4,3,4,1,2,4,3,2,1,2,1,4,3
0,17,7,22,1,2,3,4,3,4,2,1,2,1,4,3,4,3,1,2
0,17,23,1,1,2,3,4,3,4,2,1,4,3,1,2,2,1,4,3
0,22,7,17,1,2,4,3,3,4,1,2,2,1,3,4,4,3,2,1
0,22,23,6,1,2,4,3,3,4,1,2,4,3,2,1,2,1,3,4
0,23,7,16,1,2,4,3,3,4,2,1,2,1,3,4,4,3,1,2
0,23,9,5,1,2,4,3,3,4,2,1,2,3,1,4,4,1,3,2
0,23,18,14,1,2,4,3,3,4,2,1,4,1,3,2,2,3,1,4
0,23,23,0,1,2,4,3,3,4,2,1,4,3,1,2,2,1,3,4
1,16,6,23,1,2,3,4,4,3,1,2,2,1,4,3,3,4,2,1
1,16,17,7,1,2,3,4,4,3,1,2,3,4,2,1,2,1,4,3
1,17,6,22,1,2,3,4,4,3,2,1,2,1,4,3,3,4,1,2
1,17,11,3,1,2,3,4,4,3,2,1,2,4,1,3,3,1,4,2
1,17,12,20,1,2,3,4,4,3,2,1,3,1,4,2,2,4,1,3
1,17,17,1,1,2,3,4,4,3,2,1,3,4,1,2,2,1,4,3
1,22,6,17,1,2,4,3,4,3,1,2,2,1,3,4,3,4,2,1
1,22,11,12,1,2,4,3,4,3,1,2,2,4,3,1,3,1,2,4
1,22,12,11,1,2,4,3,4,3,1,2,3,1,2,4,2,4,3,1
1,22,17,6,1,2,4,3,4,3,1,2,3,4,2,1,2,1,3,4
1,23,6,16,1,2,4,3,4,3,2,1,2,1,3,4,3,4,1,2
1,23,17,0,1,2,4,3,4,3,2,1,3,4,1,2,2,1,3,4
2,10,13,21,1,3,2,4,2,4,1,3,3,1,4,2,4,2,3,1
2,10,15,19,1,3,2,4,2,4,1,3,3,2,4,1,4,1,3,2
2,10,19,15,1,3,2,4,2,4,1,3,4,1,3,2,3,2,4,1
2,10,21,13,1,3,2,4,2,4,1,3,4,2,3,1,3,1,4,2
2,11,13,20,1,3,2,4,2,4,3,1,3,1,4,2,4,2,1,3
2,11,21,3,1,3,2,4,2,4,3,1,4,2,1,3,3,1,4,2
2,20,13,11,1,3,4,2,2,4,1,3,3,1,2,4,4,2,3,1
2,20,21,12,1,3,4,2,2,4,1,3,4,2,3,1,3,1,2,4
2,21,13,10,1,3,4,2,2,4,3,1,3,1,2,4,4,2,1,3
2,21,15,4,1,3,4,2,2,4,3,1,3,2,1,4,4,1,2,3
2,21,19,8,1,3,4,2,2,4,3,1,4,1,2,3,3,2,1,4
2,21,21,2,1,3,4,2,2,4,3,1,4,2,1,3,3,1,2,4
3,10,11,13,1,3,2,4,4,2,1,3,2,4,3,1,3,1,4,2
3,10,12,21,1,3,2,4,4,2,1,3,3,1,4,2,2,4,3,1
3,11,6,22,1,3,2,4,4,2,3,1,2,1,4,3,3,4,1,2
3,11,11,3,1,3,2,4,4,2,3,1,2,4,1,3,3,1,4,2
3,11,12,20,1,3,2,4,4,2,3,1,3,1,4,2,2,4,1,3
3,11,17,1,1,3,2,4,4,2,3,1,3,4,1,2,2,1,4,3
3,20,6,17,1,3,4,2,4,2,1,3,2,1,3,4,3,4,2,1
3,20,11,12,1,3,4,2,4,2,1,3,2,4,3,1,3,1,2,4
3,20,12,11,1,3,4,2,4,2,1,3,3,1,2,4,2,4,3,1
3,20,17,6,1,3,4,2,4,2,1,3,3,4,2,1,2,1,3,4
3,21,11,2,1,3,4,2,4,2,3,1,2,4,1,3,3,1,2,4
3,21,12,10,1,3,4,2,4,2,3,1,3,1,2,4,2,4,1,3
4,8,13,21,1,4,2,3,2,3,1,4,3,1,4,2,4,2,3,1
4,8,15,19,1,4,2,3,2,3,1,4,3,2,4,1,4,1,3,2
4,8,19,15,1,4,2,3,2,3,1,4,4,1,3,2,3,2,4,1
4,8,21,13,1,4,2,3,2,3,1,4,4,2,3,1,3,1,4,2
4,9,15,5,1,4,2,3,2,3,4,1,3,2,1,4,4,1,3,2
4,9,19,14,1,4,2,3,2,3,4,1,4,1,3,2,3,2,1,4
4,14,15,18,1,4,3,2,2,3,1,4,3,2,4,1,4,1,2,3
4,14,19,9,1,4,3,2,2,3,1,4,4,1,2,3,3,2,4,1
4,15,13,10,1,4,3,2,2,3,4,1,3,1,2,4,4,2,1,3
4,15,15,4,1,4,3,2,2,3,4,1,3,2,1,4,4,1,2,3
4,15,19,8,1,4,3,2,2,3,4,1,4,1,2,3,3,2,1,4
4,15,21,2,1,4,3,2,2,3,4,1,4,2,1,3,3,1,2,4
5,8,9,19,1,4,2,3,3,2,1,4,2,3,4,1,4,1,3,2
5,8,18,15,1,4,2,3,3,2,1,4,4,1,3,2,2,3,4,1
5,9,7,16,1,4,2,3,3,2,4,1,2,1,3,4,4,3,1,2
5,9,9,5,1,4,2,3,3,2,4,1,2,3,1,4,4,1,3,2
5,9,18,14,1,4,2,3,3,2,4,1,4,1,3,2,2,3,1,4
5,9,23,0,1,4,2,3,3,2,4,1,4,3,1,2,2,1,3,4
5,14,7,23,1,4,3,2,3,2,1,4,2,1,4,3,4,3,2,1
5,14,9,18,1,4,3,2,3,2,1,4,2,3,4,1,4,1,2,3
5,14,18,9,1,4,3,2,3,2,1,4,4,1,2,3,2,3,4,1
5,14,23,7,1,4,3,2,3,2,1,4,4,3,2,1,2,1,4,3
5,15,9,4,1,4,3,2,3,2,4,1,2,3,1,4,4,1,2,3
5,15,18,8,1,4,3,2,3,2,4,1,4,1,2,3,2,3,1,4
6,16,1,23,2,1,3,4,3,4,1,2,1,2,4,3,4,3,2,1
6,16,22,7,2,1,3,4,3,4,1,2,4,3,2,1,1,2,4,3
6,17,1,22,2,1,3,4,3,4,2,1,1,2,4,3,4,3,1,2
6,17,3,20,2,1,3,4,3,4,2,1,1,3,4,2,4,2,1,3
6,17,20,3,2,1,3,4,3,4,2,1,4,2,1,3,1,3,4,2
6,17,22,1,2,1,3,4,3,4,2,1,4,3,1,2,1,2,4,3
6,22,1,17,2,1,4,3,3,4,1,2,1,2,3,4,4,3,2,1
6,22,3,11,2,1,4,3,3,4,1,2,1,3,2,4,4,2,3,1
6,22,20,12,2,1,4,3,3,4,1,2,4,2,3,1,1,3,2,4
6,22,22,6,2,1,4,3,3,4,1,2,4,3,2,1,1,2,3,4
6,23,1,16,2,1,4,3,3,4,2,1,1,2,3,4,4,3,1,2
6,23,22,0,2,1,4,3,3,4,2,1,4,3,1,2,1,2,3,4
7,16,0,23,2,1,3,4,4,3,1,2,1,2,4,3,3,4,2,1
7,16,5,9,2,1,3,4,4,3,1,2,1,4,2,3,3,2,4,1
7,16,14,18,2,1,3,4,4,3,1,2,3,2,4,1,1,4,2,3
7,16,16,7,2,1,3,4,4,3,1,2,3,4,2,1,1,2,4,3
7,17,0,22,2,1,3,4,4,3,2,1,1,2,4,3,3,4,1,2
7,17,16,1,2,1,3,4,4,3,2,1,3,4,1,2,1,2,4,3
7,22,0,17,2,1,4,3,4,3,1,2,1,2,3,4,3,4,2,1
7,22,16,6,2,1,4,3,4,3,1,2,3,4,2,1,1,2,3,4
7,23,0,16,2,1,4,3,4,3,2,1,1,2,3,4,3,4,1,2
7,23,5,14,2,1,4,3,4,3,2,1,1,4,3,2,3,2,1,4
7,23,14,5,2,1,4,3,4,3,2,1,3,2,1,4,1,4,3,2
7,23,16,0,2,1,4,3,4,3,2,1,3,4,1,2,1,2,3,4
8,4,13,21,2,3,1,4,1,4,2,3,3,1,4,2,4,2,3,1
8,4,15,19,2,3,1,4,1,4,2,3,3,2,4,1,4,1,3,2
8,4,19,15,2,3,1,4,1,4,2,3,4,1,3,2,3,2,4,1
8,4,21,13,2,3,1,4,1,4,2,3,4,2,3,1,3,1,4,2
8,5,15,18,2,3,1,4,1,4,3,2,3,2,4,1,4,1,2,3
8,5,19,9,2,3,1,4,1,4,3,2,4,1,2,3,3,2,4,1
8,18,15,5,2,3,4,1,1,4,2,3,3,2,1,4,4,1,3,2
8,18,19,14,2,3,4,1,1,4,2,3,4,1,3,2,3,2,1,4
8,19,13,10,2,3,4,1,1,4,3,2,3,1,2,4,4,2,1,3
8,19,15,4,2,3,4,1,1,4,3,2,3,2,1,4,4,1,2,3
8,19,19,8,2,3,4,1,1,4,3,2,4,1,2,3,3,2,1,4
8,19,21,2,2,3,4,1,1,4,3,2,4,2,1,3,3,1,2,4
9,4,5,15,2,3,1,4,4,1,2,3,1,4,3,2,3,2,4,1
9,4,14,19,2,3,1,4,4,1,2,3,3,2,4,1,1,4,3,2
9,5,0,23,2,3,1,4,4,1,3,2,1,2,4,3,3,4,2,1
9,5,5,9,2,3,1,4,4,1,3,2,1,4,2,3,3,2,4,1
9,5,14,18,2,3,1,4,4,1,3,2,3,2,4,1,1,4,2,3
