left_or_top_index,right_or_bottom_index
0,7
0,9
0,18
0,23
1,6
1,11
1,12
1,17
2,13
2,15
2,19
2,21
3,6
3,11
3,12
3,17
4,13
4,15
4,19
4,21
5,7
5,9
5,18
5,23
6,1
6,3
6,20
6,22
7,0
7,5
7,14
7,16
8,13
8,15
8,19
8,21
9,0
9,5
9,14
9,16
10,13
10,15
10,19
10,21
11,1
11,3
11,20
11,22
12,1
12,3
12,20
12,22
13,2
13,4
13,8
13,10
14,7
14,9
14,18
14,23
15,2
15,4
15,8
15,10
16,7
16,9
16,18
16,23
17,1
17,3
17,20
17,22
18,0
18,5
18,14
18,16
19,2
19,4
19,8
19,10
20,6
20,11
20,12
20,17
21,2
21,4
21,8
21,10
22,6
22,11
22,12
22,17
23,0
23,5
23,14
23,16
