left_or_top_index,right_or_bottom_index
0,16
0,17
0,22
0,23
1,16
1,17
1,22
1,23
2,10
2,11
2,20
2,21
3,10
3,11
3,20
3,21
4,8
4,9
4,14
4,15
5,8
5,9
5,14
5,15
6,16
6,17
6,22
6,23
7,16
7,17
7,22
7,23
8,4
8,5
8,18
8,19
9,4
9,5
9,18
9,19
10,2
10,3
10,12
10,13
11,2
11,3
11,12
11,13
12,10
12,11
12,20
12,21
13,10
13,11
13,20
13,21
14,4
14,5
14,18
14,19
15,4
15,5
15,18
15,19
16,0
16,1
16,6
16,7
17,0
17,1
17,6
17,7
18,8
18,9
18,14
18,15
19,8
19,9
19,14
19,15
20,2
20,3
20,12
20,13
21,2
21,3
21,12
21,13
22,0
22,1
22,6
22,7
23,0
23,1
23,6
23,7
